epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5289,1.37502,3.31462,3.15025,1.43673,0.03638,0.73607,0.15891,0.09308,0.03478,0.70381,0.14826,0.08222,1.00057,2.47733,3.12394,1.22964,0.0001,0.0001,0.0001
2,175.836,1.15292,2.5371,2.41469,1.23379,0.04333,0.87683,0.39149,0.22038,0.04188,0.84751,0.3344,0.14878,1.08858,2.46187,2.77437,1.08167,0.000218659,0.000218659,0.000218659
3,226.403,1.18347,2.40182,1.61723,1.2406,0.76738,0.31925,0.50468,0.29804,0.75037,0.30792,0.45888,0.23127,1.04603,2.67017,2.3618,1.07167,0.000331763,0.000331763,0.000331763
4,280.541,1.09647,2.22643,1.31946,1.16825,0.73888,0.29873,0.48427,0.28074,0.68811,0.27821,0.41911,0.19958,1.12652,2.69483,2.32484,1.13456,0.000435182,0.000435182,0.000435182
5,339.628,1.14621,2.21151,1.36677,1.2346,0.70506,0.30144,0.47472,0.29637,0.66843,0.28969,0.42777,0.22049,0.99633,2.46037,2.27723,1.09278,0.000525169,0.000525169,0.000525169
6,393.413,1.03338,2.15362,1.33683,1.1955,0.6286,0.25314,0.41926,0.24682,0.58591,0.22874,0.36824,0.17774,1.05214,2.63593,2.34889,1.14511,0.000598512,0.000598512,0.000598512
7,440.516,1.07635,2.25784,1.44835,1.2359,0.47882,0.38527,0.42348,0.23717,0.43371,0.34897,0.37671,0.16885,1.17503,2.7811,2.11902,1.18475,0.000652682,0.000652682,0.000652682
8,511.751,1.10089,2.25809,1.29782,1.21308,0.47008,0.4868,0.5086,0.33005,0.41295,0.44868,0.43791,0.21264,1.12105,2.89724,1.83156,1.10998,0.000685942,0.000685942,0.000685942
9,562.861,1.1113,2.32065,1.30291,1.20946,0.6058,0.63093,0.62581,0.40339,0.56638,0.58987,0.56149,0.27465,1.11961,2.82825,1.74953,1.12587,0.000697441,0.000697441,0.000697441
10,611.841,1.07778,2.23238,1.27722,1.20801,0.68279,0.69795,0.69893,0.44944,0.65828,0.68035,0.66172,0.34226,1.09352,2.83913,1.60224,1.11758,0.000687273,0.000687273,0.000687273
11,657.15,0.98759,2.31047,1.65396,1.17249,0.69767,0.66997,0.68468,0.42184,0.6651,0.66276,0.64953,0.33298,1.13992,2.51847,1.71436,1.16163,0.0006565,0.0006565,0.0006565
12,701.564,1.03167,2.16209,1.43645,1.17253,0.56711,0.53079,0.5651,0.34248,0.54569,0.51074,0.53053,0.27633,1.09144,2.35206,1.91165,1.18208,0.000607142,0.000607142,0.000607142
13,747.482,0.96711,2.08078,1.35805,1.15382,0.6168,0.55132,0.57629,0.3658,0.58854,0.53272,0.53058,0.308,1.03771,2.21794,1.879,1.13553,0.000542136,0.000542136,0.000542136
14,792.802,0.95411,1.95905,1.37228,1.14761,0.57645,0.5029,0.52484,0.32055,0.53627,0.48094,0.47249,0.26171,1.03022,2.25355,2.00655,1.13773,0.000465256,0.000465256,0.000465256
15,842.821,0.93276,1.8868,1.23444,1.13924,0.63193,0.54545,0.56147,0.34759,0.57924,0.50733,0.51132,0.29051,1.02043,2.18175,1.93538,1.12579,0.000381002,0.000381002,0.000381002
16,888.078,0.943,1.90647,1.19937,1.11601,0.76025,0.69744,0.74422,0.50322,0.75156,0.70381,0.72372,0.43321,0.95357,1.95932,1.5582,1.06379,0.000294466,0.000294466,0.000294466
17,932.096,0.85382,1.62618,1.2099,1.10357,0.81614,0.72141,0.79849,0.55269,0.79541,0.7183,0.76051,0.4783,0.93693,1.89635,1.40497,1.05165,0.000209073,0.000209073,0.000209073
18,971.302,0.87435,1.77772,1.12717,1.07839,0.81729,0.72145,0.83204,0.5878,0.81249,0.74194,0.79546,0.51026,0.92621,1.83056,1.30604,1.053,0.000127904,0.000127904,0.000127904
19,1010.24,0.9048,1.83971,1.15506,1.08297,0.8234,0.73021,0.83765,0.59351,0.81087,0.75073,0.80198,0.52286,0.92735,1.81207,1.27842,1.05317,6.8454e-05,6.8454e-05,6.8454e-05
20,1055.92,0.86691,1.67785,1.09238,1.07163,0.83749,0.7478,0.84577,0.60123,0.82371,0.73992,0.81159,0.53318,0.91895,1.77988,1.225,1.05322,3.21885e-05,3.21885e-05,3.21885e-05
