epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99027,1.5379,3.86255,3.09747,1.66477,0.01957,0.39589,0.0319,0.01375,0.01739,0.35191,0.02873,0.01302,1.38341,3.45433,3.30423,1.68358,6e-05,6e-05,6e-05
2,4.72649,1.39698,3.39385,3.10712,1.51925,0.03435,0.69501,0.1312,0.07344,0.03232,0.65396,0.11379,0.06275,1.03046,2.56245,3.14076,1.30676,0.00014,0.00014,0.00014
3,6.56407,1.21449,2.67557,2.56372,1.26506,0.04246,0.85924,0.33395,0.18933,0.04203,0.85044,0.29096,0.14399,1.10613,2.56008,2.83948,1.11956,0.000219999,0.000219999,0.000219999
4,8.43858,1.39077,2.78762,1.95251,1.3497,0.75294,0.32174,0.44597,0.2427,0.62941,0.26896,0.32247,0.11804,1.01833,3.35384,2.46066,1.07274,0.000299997,0.000299997,0.000299997
5,10.2737,1.24721,2.56102,1.49364,1.28706,0.83761,0.18152,0.37846,0.22546,0.69015,0.14956,0.27358,0.12922,1.05916,3.01967,2.46636,1.10505,0.000379993,0.000379993,0.000379993
6,12.0455,1.16707,2.42592,1.41912,1.24083,0.81297,0.23167,0.42758,0.27,0.74752,0.21408,0.361,0.19179,1.0147,2.58333,2.30443,1.06567,0.000459988,0.000459988,0.000459988
7,13.9375,1.19702,2.51417,1.40357,1.27445,0.6259,0.21114,0.38454,0.243,0.49178,0.17009,0.30486,0.14672,1.12484,3.16395,2.32522,1.10541,0.000539979,0.000539979,0.000539979
8,15.7132,1.17828,2.44442,1.32181,1.2649,0.43664,0.24633,0.34117,0.21627,0.34131,0.19355,0.26836,0.13455,1.04824,3.08383,2.28602,1.11122,0.000619967,0.000619967,0.000619967
9,17.4898,1.15873,2.27684,1.32188,1.23508,0.32803,0.09971,0.15375,0.08331,0.1979,0.07918,0.12313,0.05987,1.21976,3.46155,2.69801,1.33682,0.000699951,0.000699951,0.000699951
10,19.2512,1.17047,2.42983,1.32616,1.25207,0.04304,0.86804,0.23849,0.13459,0.03853,0.77713,0.19934,0.10478,1.25543,3.54204,2.66952,1.36588,0.000779931,0.000779931,0.000779931
11,21.0149,1.11661,2.3231,1.28871,1.19656,0.39565,0.12317,0.22364,0.12182,0.31531,0.09971,0.17845,0.09606,1.28218,3.14452,2.65133,1.35322,0.000859907,0.000859907,0.000859907
12,22.8421,1.18634,2.45073,1.25252,1.25292,0.29488,0.14956,0.21606,0.12224,0.25441,0.12903,0.18884,0.09784,1.20496,2.86702,2.5324,1.29668,0.000939877,0.000939877,0.000939877
13,24.5732,1.14196,2.31907,1.29591,1.25036,0.50522,0.261,0.36494,0.20892,0.4206,0.22581,0.301,0.15436,1.14449,2.78178,2.41732,1.19932,0.00101984,0.00101984,0.00101984
14,26.3232,1.16028,2.33395,1.31634,1.26051,0.6317,0.34706,0.52126,0.30299,0.57298,0.3148,0.46813,0.22689,1.11415,3.0175,2.16056,1.14212,0.0010998,0.0010998,0.0010998
15,28.1322,1.21977,2.42725,1.3059,1.28303,0.67643,0.25513,0.40736,0.21844,0.51315,0.19355,0.25219,0.1126,1.32542,4.06029,2.41204,1.32287,0.00117975,0.00117975,0.00117975
16,29.8501,1.1417,2.22067,1.2912,1.21369,0.50837,0.25513,0.31005,0.16069,0.44416,0.22028,0.22485,0.09418,1.44344,4.38475,2.46172,1.43648,0.00125969,0.00125969,0.00125969
17,31.6198,1.28979,2.51708,1.33706,1.33519,0.39233,0.35216,0.33947,0.18416,0.32507,0.28739,0.24554,0.10514,1.34463,4.03769,2.20028,1.38511,0.00133963,0.00133963,0.00133963
18,33.3583,1.15402,2.2845,1.22554,1.25989,0.45892,0.44868,0.40665,0.19826,0.40084,0.39589,0.31517,0.13747,1.41018,3.74565,2.09438,1.40055,0.00141955,0.00141955,0.00141955
19,35.0699,1.05554,2.07148,1.10204,1.17682,0.46516,0.42338,0.39737,0.2069,0.39858,0.38093,0.31064,0.1359,1.35438,3.98053,2.07407,1.36879,0.00149947,0.00149947,0.00149947
20,36.8555,1.2279,2.49038,1.29709,1.30091,0.41243,0.51906,0.4142,0.23256,0.34952,0.43988,0.31618,0.14512,1.28367,4.51196,1.87457,1.27864,0.00157938,0.00157938,0.00157938
21,38.5968,1.23524,2.35963,1.25375,1.27966,0.47991,0.4465,0.41115,0.2016,0.40497,0.38121,0.31081,0.134,1.43709,4.19404,2.03196,1.40996,0.00165928,0.00165928,0.00165928
22,40.3879,1.21106,2.3313,1.23864,1.27865,0.48234,0.5044,0.48812,0.24988,0.36525,0.39883,0.29636,0.11092,1.4205,6.25018,1.81763,1.41611,0.00173917,0.00173917,0.00173917
23,42.115,1.23149,2.4782,1.26607,1.32426,0.46421,0.48529,0.42304,0.21893,0.37719,0.44046,0.31611,0.11998,1.43374,4.8082,1.92167,1.42806,0.00181904,0.00181904,0.00181904
24,43.8689,1.15277,2.16187,1.24124,1.26237,0.49171,0.47214,0.48337,0.25674,0.44678,0.41349,0.38095,0.15141,1.49606,5.29051,1.88546,1.48503,0.00189891,0.00189891,0.00189891
25,45.6113,1.14208,2.26591,1.17365,1.23634,0.51821,0.60117,0.51731,0.27473,0.45918,0.52038,0.40098,0.16567,1.433,4.92542,1.68107,1.41854,0.00197876,0.00197876,0.00197876
26,47.3711,1.25028,2.5228,1.24612,1.30845,0.45215,0.54456,0.44658,0.21265,0.43023,0.51817,0.39908,0.16451,1.49394,4.34937,1.82193,1.47991,0.00199864,0.00199864,0.00199864
27,49.1512,1.20904,2.33212,1.22486,1.26553,0.49901,0.60171,0.52061,0.26697,0.45766,0.55186,0.45079,0.18462,1.4294,5.46541,1.76368,1.39339,0.00199853,0.00199853,0.00199853
28,50.9494,1.2297,2.38656,1.21037,1.25522,0.63029,0.67492,0.64588,0.3832,0.60797,0.65103,0.61734,0.28093,1.25831,5.0574,1.57224,1.33724,0.00199842,0.00199842,0.00199842
29,52.7229,1.15797,2.25266,1.17492,1.23572,0.69845,0.67925,0.69773,0.40465,0.69799,0.65065,0.66143,0.32139,1.28444,4.88624,1.54412,1.36022,0.0019983,0.0019983,0.0019983
30,54.5175,1.15671,2.13289,1.17247,1.25022,0.50611,0.60411,0.50639,0.26784,0.46799,0.53666,0.43458,0.17563,1.4182,5.29554,1.68928,1.43154,0.00199817,0.00199817,0.00199817
31,56.2621,1.1898,2.41264,1.24836,1.30332,0.5521,0.57185,0.53111,0.29479,0.52858,0.54839,0.4683,0.20192,1.34347,4.48606,1.69687,1.38181,0.00199805,0.00199805,0.00199805
32,58.0351,1.23848,2.42463,1.30822,1.35474,0.5482,0.55425,0.49398,0.28988,0.50516,0.53079,0.44659,0.20644,1.30471,3.7112,1.69483,1.36406,0.00199791,0.00199791,0.00199791
33,59.7623,1.17389,2.23202,1.17909,1.2656,0.7146,0.62413,0.68554,0.40693,0.65546,0.59531,0.57854,0.25832,1.31391,3.61437,1.51431,1.34184,0.00199778,0.00199778,0.00199778
34,61.4797,1.20566,2.31352,1.19245,1.2914,0.72077,0.64516,0.68902,0.41988,0.62436,0.56012,0.52902,0.24183,1.22531,4.13462,1.46172,1.28276,0.00199764,0.00199764,0.00199764
35,63.2561,1.19144,2.35531,1.18281,1.26209,0.72377,0.70692,0.71018,0.43054,0.65872,0.59999,0.57645,0.24845,1.19352,3.82137,1.42306,1.24411,0.00199749,0.00199749,0.00199749
36,65.0641,1.20489,2.37418,1.19921,1.2714,0.62249,0.67449,0.64608,0.37917,0.61015,0.64809,0.60299,0.32154,1.24763,3.06951,1.80298,1.26785,0.00199734,0.00199734,0.00199734
37,66.8042,1.13957,2.1391,1.09848,1.2222,0.64914,0.64021,0.61535,0.36612,0.61583,0.59701,0.56855,0.295,1.22604,3.17616,2.01077,1.30612,0.00199719,0.00199719,0.00199719
38,68.5613,1.13363,2.22547,1.12881,1.22148,0.63149,0.6734,0.64553,0.38391,0.61807,0.61584,0.58953,0.28835,1.21183,3.45765,1.90787,1.28948,0.00199703,0.00199703,0.00199703
39,70.2906,1.16122,2.16561,1.21819,1.25968,0.59022,0.56012,0.51956,0.27939,0.53737,0.50753,0.42966,0.20483,1.38979,3.96479,1.75952,1.40262,0.00199687,0.00199687,0.00199687
40,72.0336,1.1848,2.26274,1.21663,1.24391,0.62835,0.48974,0.50509,0.269,0.57234,0.45161,0.41077,0.18278,1.43113,3.99362,1.74927,1.45694,0.0019967,0.0019967,0.0019967
41,73.8246,1.18532,2.2997,1.20277,1.25094,0.71856,0.61877,0.71115,0.42619,0.73508,0.56305,0.64263,0.31379,1.23907,3.46291,1.35315,1.31232,0.00199653,0.00199653,0.00199653
42,75.6412,1.15374,2.27004,1.22176,1.25646,0.65844,0.68328,0.73077,0.47289,0.67645,0.70507,0.72923,0.37633,1.14611,3.16747,1.49579,1.2357,0.00199635,0.00199635,0.00199635
43,77.3964,1.10885,2.0785,1.20647,1.23545,0.73236,0.62757,0.71537,0.44711,0.69913,0.65103,0.69643,0.37137,1.19353,3.1656,1.40041,1.26102,0.00199617,0.00199617,0.00199617
44,79.1507,1.21506,2.34038,1.18706,1.28086,0.62812,0.60117,0.64663,0.37883,0.59007,0.56564,0.58239,0.30182,1.26408,3.44717,1.52143,1.33975,0.00199599,0.00199599,0.00199599
45,80.8579,1.07931,2.04685,1.11978,1.2545,0.68016,0.73314,0.75394,0.47728,0.66703,0.71848,0.71063,0.37593,1.1125,2.9661,1.3543,1.20161,0.0019958,0.0019958,0.0019958
46,82.628,1.10674,2.16533,1.11814,1.23615,0.75201,0.70088,0.77643,0.49791,0.75626,0.69151,0.74961,0.40214,1.15944,2.90291,1.24114,1.19557,0.00199561,0.00199561,0.00199561
47,84.3941,1.07667,2.01276,1.01898,1.18047,0.73199,0.74489,0.78448,0.49533,0.70721,0.72434,0.72771,0.3557,1.20446,3.34157,1.2364,1.21678,0.00199541,0.00199541,0.00199541
48,86.1853,1.164,2.12194,1.07653,1.22367,0.80339,0.66569,0.73503,0.43583,0.78121,0.64809,0.69582,0.33067,1.2847,3.34746,1.31433,1.30839,0.00199521,0.00199521,0.00199521
49,87.8628,1.04605,2.04745,1.0602,1.20445,0.75179,0.63636,0.68962,0.402,0.69254,0.58651,0.60581,0.27888,1.31204,3.54336,1.40991,1.32993,0.001995,0.001995,0.001995
50,89.6036,1.19986,2.19776,1.15748,1.26834,0.73945,0.67742,0.75086,0.46225,0.67049,0.6305,0.65304,0.32533,1.22338,3.23675,1.27219,1.2744,0.00199479,0.00199479,0.00199479
51,91.3861,1.20404,2.29223,1.16386,1.27929,0.73518,0.75953,0.80361,0.5068,0.72719,0.75073,0.78474,0.42722,1.13024,2.65902,1.15004,1.19956,0.00199458,0.00199458,0.00199458
52,93.1781,0.99037,1.80957,1.01568,1.15004,0.81483,0.7478,0.83428,0.53253,0.79389,0.72727,0.79807,0.43192,1.13544,2.83179,1.10336,1.19058,0.00199436,0.00199436,0.00199436
53,94.9633,1.06748,2.0378,1.05058,1.1853,0.8066,0.71848,0.81491,0.53245,0.80068,0.68035,0.77342,0.44403,1.09558,2.74143,1.11091,1.17662,0.00199413,0.00199413,0.00199413
54,96.7811,1.16954,2.20789,1.1136,1.25615,0.77393,0.75953,0.81218,0.51728,0.73632,0.75073,0.78944,0.43149,1.09706,2.61343,1.11185,1.2147,0.00199391,0.00199391,0.00199391
55,98.4518,1.20084,2.31463,1.17197,1.28599,0.79654,0.70033,0.77207,0.48268,0.76652,0.67394,0.74179,0.39003,1.1356,2.63809,1.17178,1.23498,0.00199368,0.00199368,0.00199368
56,100.176,1.15422,2.20584,1.19833,1.25543,0.75171,0.69501,0.74142,0.46101,0.72217,0.66862,0.69716,0.36647,1.15528,2.63899,1.23157,1.23769,0.00199344,0.00199344,0.00199344
57,101.947,1.04684,1.97498,1.06632,1.18429,0.74869,0.67155,0.74713,0.4649,0.71273,0.6393,0.70948,0.38735,1.15465,2.84455,1.37306,1.25442,0.0019932,0.0019932,0.0019932
58,103.716,1.04731,1.94447,0.97519,1.15541,0.80275,0.66569,0.78328,0.50346,0.79325,0.6526,0.74354,0.41117,1.09462,2.85383,1.39292,1.2169,0.00199295,0.00199295,0.00199295
59,105.453,1.10318,2.05537,1.05982,1.22354,0.83635,0.71937,0.81718,0.53417,0.787,0.69345,0.7663,0.40455,1.07739,2.9803,1.30273,1.1881,0.0019927,0.0019927,0.0019927
60,107.212,1.0332,1.88671,0.98531,1.16427,0.72731,0.67742,0.76298,0.49964,0.71929,0.67155,0.75206,0.42043,1.14241,2.64652,1.26661,1.2256,0.00199245,0.00199245,0.00199245
61,108.975,1.09653,2.06508,1.04898,1.22223,0.7668,0.75214,0.8129,0.52178,0.74527,0.72931,0.7795,0.45581,1.13057,2.47959,1.15615,1.20303,0.00199219,0.00199219,0.00199219
62,110.817,1.12354,2.14144,1.09395,1.21843,0.80825,0.72434,0.8186,0.51811,0.79676,0.68915,0.78968,0.45625,1.15908,2.60295,1.11913,1.20708,0.00199193,0.00199193,0.00199193
63,112.552,1.09037,1.87193,1.03783,1.20032,0.74091,0.65689,0.71229,0.43001,0.71358,0.60704,0.65239,0.3422,1.28099,2.98964,1.29524,1.31756,0.00199167,0.00199167,0.00199167
64,114.274,1.04895,1.97807,1.03007,1.20172,0.81769,0.67079,0.73879,0.47277,0.79219,0.6305,0.69616,0.37759,1.22465,2.96544,1.22069,1.28991,0.00199139,0.00199139,0.00199139
65,116.023,1.0632,1.90937,1.02279,1.19501,0.83613,0.65103,0.74355,0.45784,0.80184,0.62463,0.69341,0.38856,1.24346,3.1001,1.22905,1.29789,0.00199112,0.00199112,0.00199112
66,117.781,1.05224,1.88589,1.00044,1.20729,0.82981,0.68633,0.78171,0.48304,0.79401,0.65103,0.72743,0.39767,1.26302,3.21483,1.1436,1.30099,0.00199084,0.00199084,0.00199084
67,119.531,1.0381,1.85692,1.00004,1.20409,0.84533,0.72122,0.80908,0.53492,0.80901,0.68322,0.77678,0.44249,1.18344,2.78109,1.04766,1.24018,0.00199056,0.00199056,0.00199056
68,121.265,1.09368,2.04817,1.03425,1.23817,0.77363,0.71261,0.78649,0.5009,0.74185,0.68262,0.74959,0.41928,1.23495,2.71417,1.14453,1.27116,0.00199027,0.00199027,0.00199027
69,123.019,1.09576,2.00885,1.03061,1.23218,0.85844,0.64022,0.76883,0.49677,0.82699,0.61676,0.70651,0.40589,1.16987,2.66628,1.17815,1.22868,0.00198998,0.00198998,0.00198998
