epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,52.8599,1.08347,2.12129,1.13567,1.18243,0.57697,0.65982,0.59157,0.35191,0.52431,0.57211,0.46142,0.19518,1.25707,4.68324,1.46581,1.2967,0.00195775,0.00195775,0.00195775
30,54.5987,1.07124,1.99542,1.09485,1.17679,0.41215,0.64354,0.4421,0.25514,0.37276,0.57185,0.35576,0.14984,1.26775,4.21933,1.73595,1.32868,0.0019547,0.0019547,0.0019547
31,56.3429,1.18042,2.27761,1.19985,1.28873,0.40024,0.54839,0.3946,0.22278,0.36172,0.4956,0.31914,0.14604,1.27471,3.68172,1.85495,1.36758,0.00195155,0.00195155,0.00195155
32,58.13,1.20517,2.3344,1.24711,1.32274,0.33845,0.4956,0.33265,0.17382,0.28847,0.44282,0.25772,0.10132,1.39939,3.89151,2.05841,1.46336,0.00194829,0.00194829,0.00194829
33,59.865,1.06087,1.98767,1.0787,1.19593,0.60577,0.53079,0.53573,0.3123,0.54171,0.48094,0.45121,0.18133,1.23847,4.05583,1.68226,1.36311,0.00194493,0.00194493,0.00194493
34,61.5737,1.1288,2.23931,1.09754,1.25082,0.61797,0.53079,0.55234,0.32395,0.55094,0.48974,0.47728,0.20803,1.26331,3.86306,1.65872,1.36115,0.00194147,0.00194147,0.00194147
35,63.3136,1.10945,2.22504,1.10324,1.22514,0.61373,0.56846,0.60324,0.36592,0.57715,0.47801,0.49492,0.23206,1.26643,3.44739,1.53471,1.32507,0.00193791,0.00193791,0.00193791
36,65.1113,1.11091,2.15739,1.08839,1.22386,0.73445,0.53372,0.61745,0.3718,0.60893,0.44282,0.44765,0.20502,1.24495,3.88916,1.49404,1.32232,0.00193424,0.00193424,0.00193424
37,66.8817,1.04348,1.97573,1.01324,1.17689,0.65437,0.59409,0.59768,0.36128,0.59921,0.53928,0.51033,0.24642,1.25086,3.7208,1.58277,1.3414,0.00193048,0.00193048,0.00193048
38,68.6027,1.05452,2.05011,1.02701,1.17302,0.66542,0.65906,0.6667,0.42203,0.60791,0.60704,0.57436,0.27117,1.19709,4.08961,1.43092,1.28453,0.00192661,0.00192661,0.00192661
